airline,flight_number,operator_code,aircraft_type,frequency,origin,destination,effective_from,effective_to,direction,source_file
Air India,AI 2847,AIC,A320,3,BOM,AMD,03/06/2026,21/10/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 2847,AIC,A320,124567,BOM,AMD,29/03/2026,24/10/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 424,AIC,B777,3,AMD,DEL,05/08/2026,21/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 424,AIC,B787,3,AMD,DEL,01/04/2026,29/04/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 424,AIC,B787,3,AMD,DEL,13/05/2026,29/07/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2848,AIC,A320,3,AMD,BOM,01/04/2026,29/04/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2848,AIC,A320,3,AMD,BOM,13/05/2026,27/05/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2848,AIC,A320,3,AMD,BOM,03/06/2026,21/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 424,AIC,B777,7,AMD,DEL,09/08/2026,18/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 424,AIC,B777,5,AMD,DEL,07/08/2026,23/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 424,AIC,B787,5,AMD,DEL,03/04/2026,31/07/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 423,AIC,B777,6,DEL,AMD,08/08/2026,24/10/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 423,AIC,B777,14,DEL,AMD,03/08/2026,22/10/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 423,AIC,B787,14,DEL,AMD,30/03/2026,30/07/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 2848,AIC,A320,124567,AMD,BOM,29/03/2026,24/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Alliance Air,9I 611,LLR,ATR 72,46,BOM,AMD,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 603,LLR,ATR 72,46,AMD,IXK,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 610,LLR,ATR 72,2,JLG,AMD,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 603,LLR,ATR 72,2,AMD,IXK,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 604,LLR,ATR 72,46,IXK,AMD,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 609,LLR,ATR 72,46,AMD,JLG,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
Alliance Air,9I 604,LLR,ATR 72,2,IXK,AMD,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 861,LLR,ATR 42,24,HSS,AMD,29/03/2026,24/10/2026,arrival,AllianceAir_SS_2026.pdf
Alliance Air,9I 609,LLR,ATR 72,2,AMD,JLG,29/03/2026,24/10/2026,departure,AllianceAir_SS_2026.pdf
